"digit","M_connections","Time","Accuracy.FF","Accuracy.baseline","release.probability"
2,5,30,93.35,89.68,0.5
7,5,20,93.2466666666667,89.72,0.5
3,5,20,91.7733333333333,89.9,0.5
0,5,40,92.63,90.2,1
3,5,30,90.08,89.9,1
4,5,30,91.6866666666667,90.18,0.5
5,5,100,91.84,91.08,1
2,5,30,93.9866666666667,89.68,0.5
1,5,40,91.81,88.65,1
4,5,100,90.62,90.18,1
5,5,20,91.9,91.08,1
9,5,60,91.3666666666667,89.91,0.5
4,5,50,92.51,90.18,1
6,5,40,95.02,90.42,1
0,5,30,92.96,90.2,1
0,5,60,93,90.2,1
2,5,40,94.59,89.68,1
3,5,20,91.37,89.9,1
0,5,50,93.21,90.2,1
3,5,80,93.24,89.9,1
3,5,50,93.71,89.9,1
2,5,80,93.43,89.68,1
0,5,20,92.56,90.2,1
6,5,60,94.37,90.42,1
3,5,30,93.58,89.9,1
4,5,30,92.71,90.18,1
1,5,30,90.35,88.65,1
1,5,80,93.96,88.65,1
3,5,20,92.87,89.9,1
9,5,10,90.1,89.91,1
0,5,60,92.02,90.2,1
7,5,10,93.6,89.72,1
7,5,20,93.97,89.72,1
7,5,20,93.73,89.72,0.5
4,5,40,93.34,90.18,1
3,5,40,93.43,89.9,1
8,5,100,90.49,90.26,1
3,5,20,92.69,89.9,1
6,5,80,93.42,90.42,1
8,5,40,91.17,90.26,1
7,5,30,95.08,89.72,1
5,5,30,91.86,91.08,1
4,5,50,92.22,90.18,1
7,5,100,93.54,89.72,1
6,5,20,94.46,90.42,1
7,5,20,95.03,89.72,1
4,5,20,91.48,90.18,0.5
4,5,10,92.14,90.18,1
8,5,20,90.83,90.26,1
4,5,50,91.96,90.18,1
0,5,60,92.55,90.2,1
4,5,80,91.03,90.18,1
0,5,20,91.3,90.2,1
2,5,30,95.23,89.68,1
9,5,30,91.73,89.91,1
7,5,30,94.26,89.72,1
2,5,20,94.83,89.68,1
4,5,10,90.47,90.18,1
4,5,30,92.52,90.18,1
3,5,20,91.9533333333333,89.9,0.5
