"digit","M_connections","Time","Accuracy.FF","Accuracy.baseline","release.probability"
6,5,40,95.37,90.42,1
3,5,30,89.96,89.9,1
2,5,10,90.85,89.68,1
5,5,40,92.58,91.08,1
7,5,20,93.1533333333333,89.72,0.5
3,5,40,93.51,89.9,1
2,5,60,93.86,89.68,1
2,5,100,91.75,89.68,1
5,5,20,91.86,91.08,1
4,5,30,91.6966666666667,90.18,0.5
0,5,10,91.7,90.2,1
7,5,40,94.87,89.72,1
2,5,10,91.04,89.68,1
3,5,20,90.4633333333333,89.9,0.5
7,5,10,93.44,89.72,1
3,5,50,93.59,89.9,1
3,5,20,90.9366666666667,89.9,0.5
7,5,10,89.94,89.72,0.5
4,5,20,93.19,90.18,1
2,5,60,94.69,89.68,1
2,5,20,91.32,89.68,1
8,5,40,91.17,90.26,1
2,5,30,94.44,89.68,1
8,5,10,90.32,90.26,1
2,5,30,94.96,89.68,1
4,5,10,90.3866666666667,90.18,0.5
7,5,30,90.47,89.72,1
2,5,20,92.2566666666667,89.68,0.5
3,5,10,92.39,89.9,1
2,5,40,94.14,89.68,1
3,5,30,90.27,89.9,1
3,5,50,93.54,89.9,1
3,5,20,91.6633333333333,89.9,0.5
3,5,20,90.07,89.9,1
5,5,30,91.98,91.08,1
2,5,30,94.71,89.68,1
7,5,40,94.92,89.72,1
2,5,10,90.85,89.68,1
0,5,20,92.03,90.2,1
8,5,40,90.84,90.26,1
6,5,80,93.7,90.42,1
1,5,50,94.3,88.65,1
2,5,30,92.7266666666667,89.68,0.5
9,5,40,92.48,89.91,1
2,5,20,92.57,89.68,1
2,5,10,93.83,89.68,1
3,5,10,90.37,89.9,1
3,5,30,89.99,89.9,1
8,5,30,90.79,90.26,1
2,5,20,95,89.68,1
2,5,10,91.7533333333333,89.68,0.5
2,5,40,94.66,89.68,1
7,5,30,93.7766666666667,89.72,0.5
1,5,40,92.51,88.65,1
0,5,10,91.5,90.2,1
9,5,100,91.71,89.91,1
3,5,20,93.26,89.9,1
2,5,20,92.85,89.68,0.5
1,5,20,89.18,88.65,1
5,5,50,92.33,91.08,1
2,5,20,92.54,89.68,1
2,5,20,92.8533333333333,89.68,0.5
1,5,10,88.81,88.65,1
5,5,100,91.81,91.08,1
5,5,10,91.1,91.08,1
0,5,10,91.29,90.2,1
1,5,20,89.84,88.65,1
4,5,10,92.79,90.18,1
3,5,20,92.36,89.9,1
3,5,20,90.26,89.9,1
0,5,30,92.72,90.2,1
2,5,10,91.89,89.68,1
2,5,30,93.2133333333333,89.68,0.5
4,5,20,90.25,90.18,1
3,5,20,93.18,89.9,1
7,5,30,94.04,89.72,1
2,5,10,93.96,89.68,1
5,5,40,92.49,91.08,1
2,5,20,92.5466666666667,89.68,0.5
2,5,10,91.0466666666667,89.68,0.5
1,5,30,90.12,88.65,1
2,5,40,94.92,89.68,1
4,5,20,92.88,90.18,1
8,5,40,91.13,90.26,1
2,5,20,93.4866666666667,89.68,0.5
1,5,50,94.46,88.65,1
6,5,100,92.4,90.42,1
2,5,20,93.22,89.68,0.5
8,5,10,90.28,90.26,1
2,5,80,93.63,89.68,1
2,5,30,94.1466666666667,89.68,0.5
4,5,30,90.28,90.18,0.5
4,5,60,91.44,90.18,1
7,5,20,94.75,89.72,1
8,5,40,90.96,90.26,1
2,5,30,91.96,89.68,0.5
2,5,20,93.5133333333333,89.68,0.5
2,5,80,92.94,89.68,1
7,5,30,93.5033333333333,89.72,0.5
9,5,30,90.99,89.91,1
2,5,30,89.77,89.68,1
1,5,80,94.13,88.65,1
5,5,50,92.34,91.08,1
2,5,30,94.32,89.68,1
3,5,20,90.17,89.9,1
5,5,50,91.0966666666667,91.08,0.5
3,5,10,91.46,89.9,1
0,5,80,91.71,90.2,1
1,5,10,88.78,88.65,1
6,5,100,92.79,90.42,1
2,5,20,91.55,89.68,0.5
2,5,30,90.2866666666667,89.68,0.5
4,5,10,91.04,90.18,1
2,5,10,90.83,89.68,1
4,5,30,93.06,90.18,1
3,5,20,92.12,89.9,1
6,5,80,93.9,90.42,1
8,5,40,91.18,90.26,1
7,5,40,95.06,89.72,1
2,5,10,93.97,89.68,1
5,5,60,92.61,91.08,1
7,5,80,93.68,89.72,1
7,5,20,91.86,89.72,1
5,5,30,92.55,91.08,1
7,5,20,90.94,89.72,0.5
4,5,100,91.1,90.18,1
2,5,30,95.16,89.68,1
6,5,40,95.39,90.42,1
4,5,20,92.97,90.18,1
7,5,30,95.05,89.72,1
2,5,50,94.7,89.68,1
2,5,20,90.0366666666667,89.68,0.5
2,5,30,94.74,89.68,1
3,5,20,91.17,89.9,0.5
2,5,80,92.56,89.68,1
2,5,20,94.83,89.68,1
3,5,40,93.24,89.9,1
4,5,20,93.18,90.18,1
3,5,30,92.81,89.9,0.5
7,5,20,94.26,89.72,1
4,5,60,90.2833333333333,90.18,0.75
2,5,20,92.74,89.68,1
1,5,20,89.63,88.65,1
2,5,50,94.68,89.68,1
3,5,20,91.78,89.9,1
9,5,30,91.39,89.91,1
4,5,40,92.73,90.18,1
3,5,10,89.99,89.9,1
8,5,20,90.87,90.26,1
4,5,20,91.8766666666667,90.18,0.5
4,5,20,90.43,90.18,1
4,5,10,90.64,90.18,1
1,5,40,91.92,88.65,1
3,5,30,93.22,89.9,1
6,5,30,93.88,90.42,1
3,5,40,93.58,89.9,1
2,5,40,95.09,89.68,1
3,5,50,93.68,89.9,1
2,5,20,91.36,89.68,1
5,5,40,92.66,91.08,1
7,5,40,95.12,89.72,1
9,5,100,91.44,89.91,1
5,5,50,92.43,91.08,1
1,5,40,92.34,88.65,1
7,5,40,95.34,89.72,1
0,5,40,93.6,90.2,1
7,5,20,94.29,89.72,1
2,5,20,92.12,89.68,1
3,5,40,93.48,89.9,1
0,5,40,93.5,90.2,1
0,5,20,91.78,90.2,1
9,5,50,92.15,89.91,1
1,5,50,94.84,88.65,1
9,5,50,93.01,89.91,1
1,5,10,88.85,88.65,1
1,5,80,93.58,88.65,1
7,5,80,91.71,89.72,0.25
3,5,50,93.76,89.9,1
4,5,30,90.2033333333333,90.18,0.5
4,5,20,92.77,90.18,1
3,5,20,91.81,89.9,0.5
4,5,30,92.71,90.18,1
6,5,40,94.58,90.42,1
7,5,30,93.8466666666667,89.72,0.5
3,5,20,90.73,89.9,0.5
2,5,20,93.56,89.68,0.5
8,5,40,90.3066666666667,90.26,0.5
3,5,20,90.21,89.9,1
1,5,50,93.74,88.65,1
3,5,20,93.33,89.9,1
4,5,20,92.21,90.18,1
3,5,50,93.71,89.9,1
4,5,20,90.5533333333333,90.18,0.5
2,5,40,95.12,89.68,1
2,5,30,89.73,89.68,1
4,5,10,92.54,90.18,1
4,5,20,90.7,90.18,1
7,5,50,94.63,89.72,1
3,5,40,93.56,89.9,1
2,5,10,91.03,89.68,1
4,5,10,91.86,90.18,1
9,5,50,92.1,89.91,1
2,5,20,93.79,89.68,1
2,5,50,94.54,89.68,1
9,5,40,92.01,89.91,1
4,5,30,92.47,90.18,1
2,5,10,90.2133333333333,89.68,0.5
4,5,20,91.6433333333333,90.18,0.5
2,5,80,92.44,89.68,1
9,5,50,91.91,89.91,1
9,5,20,90.65,89.91,1
7,5,100,92.71,89.72,1
2,5,20,93.5866666666667,89.68,0.5
2,5,20,94.4,89.68,1
4,5,20,93.41,90.18,1
2,5,30,93.1633333333333,89.68,0.5
6,5,40,94.44,90.42,1
6,5,80,93.87,90.42,1
9,5,40,92.27,89.91,1
8,5,40,91.36,90.26,1
0,5,40,93.18,90.2,1
7,5,30,89.84,89.72,1
2,5,10,91.19,89.68,1
2,5,30,90.26,89.68,1
4,5,30,91.04,90.18,1
8,5,40,91.13,90.26,1
4,5,10,91.03,90.18,1
4,5,80,90.85,90.18,1
7,5,30,94.24,89.72,1
7,5,40,95.3,89.72,1
6,5,20,93.78,90.42,1
2,5,40,94.24,89.68,1
3,5,40,93.9,89.9,1
3,5,20,92.73,89.9,1
2,5,40,94.93,89.68,1
1,5,30,89.99,88.65,1
3,5,20,89.94,89.9,1
6,5,80,93.89,90.42,1
3,5,60,93.53,89.9,1
4,5,20,92.43,90.18,1
9,5,100,91.12,89.91,1
8,5,50,91.1,90.26,1
3,5,40,93.69,89.9,1
7,5,30,92.76,89.72,0.5
8,5,10,90.27,90.26,1
3,5,50,93.43,89.9,1
5,5,80,92.59,91.08,1
2,5,10,91.57,89.68,0.5
3,5,10,91.63,89.9,1
1,5,80,94.84,88.65,1
2,5,10,93.13,89.68,1
5,5,40,92.19,91.08,1
2,5,40,94.36,89.68,1
2,5,30,95.4,89.68,1
2,5,30,94.01,89.68,0.5
1,5,40,91.88,88.65,1
8,5,100,90.71,90.26,1
6,5,80,93.38,90.42,1
3,5,40,93.64,89.9,1
3,5,20,91.6233333333333,89.9,0.5
5,5,40,92.45,91.08,1
1,5,60,94.47,88.65,1
4,5,60,92.24,90.18,1
6,5,10,92.45,90.42,1
0,5,30,93.05,90.2,1
3,5,100,92.6,89.9,1
3,5,40,93.45,89.9,1
4,5,20,90.77,90.18,1
2,5,20,94.37,89.68,1
7,5,10,90.58,89.72,0.5
4,5,30,92.97,90.18,1
3,5,40,93.65,89.9,1
2,5,20,92.2433333333333,89.68,0.5
3,5,30,92.91,89.9,1
4,5,30,90.54,90.18,1
2,5,10,94.42,89.68,1
3,5,30,93.59,89.9,1
5,5,40,92.24,91.08,1
9,5,100,91.53,89.91,1
6,5,40,95.55,90.42,1
4,5,10,92.28,90.18,1
4,5,20,90.34,90.18,1
3,5,10,91.2266666666667,89.9,0.5
4,5,40,92.53,90.18,1
5,5,100,91.69,91.08,1
0,5,50,93.6,90.2,1
3,5,10,89.92,89.9,1
7,5,20,93.73,89.72,1
6,5,30,94,90.42,1
8,5,100,90.51,90.26,1
6,5,40,94.76,90.42,1
9,5,10,90.25,89.91,1
7,5,80,93.87,89.72,1
3,5,20,92.76,89.9,1
9,5,60,92.66,89.91,1
3,5,20,90.32,89.9,1
8,5,20,90.92,90.26,1
1,5,80,93.47,88.65,1
3,5,30,91.34,89.9,1
5,5,30,91.83,91.08,1
9,5,40,91.59,89.91,1
0,5,20,91.9,90.2,1
0,5,20,91.76,90.2,1
4,5,100,90.98,90.18,1
3,5,20,93.12,89.9,1
4,5,30,91.02,90.18,0.5
4,5,20,90.43,90.18,1
2,5,20,94.6,89.68,1
7,5,30,92.86,89.72,0.5
3,5,20,92.61,89.9,1
2,5,100,91.8,89.68,1
5,5,30,91.54,91.08,1
2,5,40,95.49,89.68,1
7,5,30,92.3333333333333,89.72,0.5
4,5,50,92.88,90.18,1
9,5,40,92.02,89.91,1
6,5,40,94.44,90.42,1
4,5,60,92.45,90.18,1
8,5,100,90.58,90.26,1
2,5,80,93.23,89.68,1
6,5,40,94.34,90.42,1
4,5,10,92.81,90.18,1
4,5,20,92.89,90.18,1
4,5,100,90.64,90.18,1
8,5,20,91.01,90.26,1
3,5,40,93.45,89.9,1
7,5,30,92.6633333333333,89.72,0.5
3,5,30,93.53,89.9,1
6,5,40,95.04,90.42,1
4,5,30,92.18,90.18,1
2,5,30,93.31,89.68,0.5
5,5,40,92.34,91.08,1
2,5,40,95.34,89.68,1
2,5,20,90.85,89.68,1
2,5,30,95,89.68,1
6,5,100,92.24,90.42,1
3,5,10,91.4,89.9,0.5
5,5,50,92.77,91.08,1
3,5,20,91.7566666666667,89.9,0.5
4,5,30,91.43,90.18,0.5
3,5,40,93.75,89.9,1
9,5,20,90.6,89.91,1
9,5,50,92.5,89.91,1
7,5,20,91.59,89.72,1
4,5,10,91.3233333333333,90.18,0.5
3,5,20,92.99,89.9,1
2,5,60,94.62,89.68,1
6,5,80,93.8,90.42,1
7,5,20,94.26,89.72,1
2,5,30,94.48,89.68,1
0,5,20,91.51,90.2,1
3,5,20,91.8433333333333,89.9,0.5
2,5,10,92.9933333333333,89.68,0.5
5,5,80,92.65,91.08,1
2,5,60,94.3,89.68,1
4,5,30,90.85,90.18,1
7,5,60,94.35,89.72,1
3,5,30,91.77,89.9,1
9,5,50,92.81,89.91,1
3,5,50,93.96,89.9,1
3,5,20,91.7866666666667,89.9,0.5
4,5,10,91.24,90.18,1
3,5,40,93.4,89.9,1
7,5,20,90.45,89.72,1
4,5,30,90.19,90.18,1
7,5,40,94.73,89.72,1
2,5,20,93.8333333333333,89.68,0.5
3,5,20,91.8033333333333,89.9,0.5
5,5,30,92.55,91.08,1
7,5,40,95.15,89.72,1
2,5,10,94.65,89.68,1
8,5,20,91.02,90.26,1
3,5,20,89.9633333333333,89.9,0.5
2,5,20,91.47,89.68,1
4,5,10,91.48,90.18,1
2,5,20,94.37,89.68,1
3,5,40,93.74,89.9,1
8,5,10,90.26,90.26,1
3,5,30,90.81,89.9,0.5
7,5,10,93.3,89.72,1
7,5,10,92.2333333333333,89.72,0.5
3,5,100,92.86,89.9,1
7,5,60,95.05,89.72,1
5,5,50,92.99,91.08,1
6,5,60,95.04,90.42,1
3,5,30,90.35,89.9,1
7,5,10,91.7,89.72,1
7,5,30,94.34,89.72,1
6,5,100,92.78,90.42,1
2,5,10,93.55,89.68,1
0,5,40,92.83,90.2,1
3,5,40,93.81,89.9,1
5,5,60,93.31,91.08,1
3,5,40,93.77,89.9,1
3,5,20,90.12,89.9,1
8,5,100,90.41,90.26,1
4,5,10,90.6666666666667,90.18,0.5
4,5,10,90.18,90.18,0.5
3,5,40,93.47,89.9,1
2,5,20,93.0233333333333,89.68,0.5
2,5,10,93.79,89.68,1
7,5,40,95.03,89.72,1
9,5,50,92.39,89.91,1
1,5,50,94.41,88.65,1
7,5,20,90.28,89.72,1
8,5,40,90.94,90.26,1
0,5,10,91.37,90.2,1
3,5,50,93.7,89.9,1
7,5,20,90.95,89.72,1
5,5,60,92.65,91.08,1
2,5,100,91.26,89.68,1
0,5,40,91.2733333333333,90.2,0.25
6,5,100,93.42,90.42,1
1,5,10,88.98,88.65,1
3,5,50,93.52,89.9,1
5,5,20,91.64,91.08,1
5,5,10,91.26,91.08,1
0,5,10,91.5,90.2,1
2,5,10,92.7933333333333,89.68,0.5
3,5,40,94,89.9,1
2,5,30,94.36,89.68,1
2,5,30,94.48,89.68,1
2,5,10,93.76,89.68,1
1,5,80,94.33,88.65,1
6,5,40,95.01,90.42,1
4,5,60,91.57,90.18,1
9,5,40,91.88,89.91,1
2,5,100,89.88,89.68,0.5
2,5,20,93.4433333333333,89.68,0.5
7,5,40,95.07,89.72,1
2,5,10,90.83,89.68,1
3,5,30,89.97,89.9,1
4,5,10,92.83,90.18,1
8,5,30,91.1,90.26,1
6,5,60,94.62,90.42,1
3,5,30,93.29,89.9,1
2,5,80,93.36,89.68,1
2,5,40,94.53,89.68,1
7,5,30,91.53,89.72,1
3,5,20,90.02,89.9,1
3,5,20,91.2533333333333,89.9,0.5
2,5,10,91.72,89.68,1
9,5,100,91.61,89.91,1
7,5,20,92.34,89.72,1
7,5,20,93.4966666666667,89.72,0.5
2,5,20,93.6866666666667,89.68,0.5
6,5,10,92.25,90.42,1
3,5,10,90.58,89.9,1
3,5,20,93.57,89.9,1
6,5,80,94.29,90.42,1
8,5,80,90.58,90.26,1
7,5,20,92.0633333333333,89.72,0.5
9,5,40,91.96,89.91,1
2,5,50,94.87,89.68,1
3,5,20,91.8766666666667,89.9,0.5
7,5,30,93.3,89.72,0.5
8,5,20,90.75,90.26,1
4,5,20,92.7,90.18,1
4,5,10,90.8,90.18,1
4,5,20,91.4,90.18,1
7,5,60,95.15,89.72,1
3,5,10,91.06,89.9,0.5
8,5,50,91.27,90.26,1
3,5,30,89.91,89.9,1
2,5,20,91.6,89.68,1
4,5,80,91.08,90.18,1
2,5,10,90.99,89.68,1
5,5,20,91.97,91.08,1
8,5,80,90.31,90.26,0.75
3,5,60,93.87,89.9,1
2,5,20,95.03,89.68,1
7,5,30,92.84,89.72,0.5
4,5,100,90.69,90.18,1
3,5,10,89.93,89.9,1
2,5,20,94.99,89.68,1
8,5,100,90.75,90.26,1
2,5,40,94.31,89.68,1
4,5,20,90.7833333333333,90.18,0.5
5,5,40,92.43,91.08,1
4,5,30,92.6,90.18,1
3,5,30,93.31,89.9,1
0,5,10,91.92,90.2,1
8,5,10,90.4,90.26,1
4,5,20,93.02,90.18,1
7,5,20,94.76,89.72,1
7,5,20,91.71,89.72,1
7,5,10,91.04,89.72,1
3,5,20,90.09,89.9,1
7,5,10,89.9866666666667,89.72,0.5
2,5,100,91.67,89.68,1
5,5,10,91.18,91.08,1
3,5,20,90.1,89.9,1
2,5,20,94.73,89.68,1
4,5,10,90.4,90.18,1
6,5,40,95.33,90.42,1
6,5,20,93.82,90.42,1
3,5,80,93.13,89.9,1
4,5,30,93.25,90.18,1
7,5,20,94.59,89.72,1
0,5,40,93.4,90.2,1
7,5,40,94.94,89.72,1
3,5,100,92.67,89.9,1
2,5,30,91.6866666666667,89.68,0.5
9,5,20,90.82,89.91,1
0,5,10,91.93,90.2,1
7,5,40,95.18,89.72,1
1,5,30,90.6,88.65,1
3,5,50,93.58,89.9,1
0,5,20,92.35,90.2,1
2,5,30,94.5,89.68,1
3,5,80,93.07,89.9,1
5,5,10,91.25,91.08,1
2,5,10,93.39,89.68,1
6,5,20,93.55,90.42,1
1,5,60,93.54,88.65,1
1,5,50,93.33,88.65,1
2,5,100,92.32,89.68,1
3,5,50,93.95,89.9,1
8,5,20,90.88,90.26,1
6,5,50,94.98,90.42,1
5,5,80,92.15,91.08,1
3,5,10,89.9066666666667,89.9,0.5
0,5,10,91.17,90.2,1
2,5,20,94.13,89.68,1
2,5,10,92.11,89.68,1
1,5,50,93.53,88.65,1
5,5,60,92.7,91.08,1
9,5,50,92.07,89.91,1
1,5,40,92.01,88.65,1
1,5,30,90.48,88.65,1
5,5,40,92.19,91.08,1
6,5,10,91.92,90.42,1
2,5,60,94.2,89.68,1
7,5,50,94.8,89.72,1
7,5,10,93.01,89.72,1
2,5,20,91,89.68,0.5
4,5,50,92.01,90.18,1
2,5,10,90.98,89.68,1
8,5,60,91.05,90.26,1
1,5,30,91.53,88.65,1
3,5,50,93.88,89.9,1
4,5,40,92.44,90.18,1
2,5,30,95.25,89.68,1
9,5,10,90.55,89.91,1
5,5,60,92.36,91.08,1
1,5,100,92.42,88.65,1
6,5,30,94.3,90.42,1
6,5,30,94.26,90.42,1
2,5,20,93.7,89.68,1
3,5,40,93.61,89.9,1
5,5,40,92.32,91.08,1
6,5,100,92.52,90.42,1
6,5,50,94.41,90.42,1
3,5,30,89.91,89.9,0.5
2,5,20,91.4466666666667,89.68,0.5
7,5,40,95.28,89.72,1
2,5,100,91.48,89.68,1
9,5,100,91.36,89.91,1
2,5,10,93.79,89.68,1
7,5,10,92.01,89.72,0.5
7,5,80,93.84,89.72,1
7,5,30,93.9233333333333,89.72,0.5
7,5,30,92.98,89.72,1
7,5,40,95.37,89.72,1
3,5,40,93.81,89.9,1
1,5,10,89.37,88.65,1
3,5,40,93.95,89.9,1
3,5,20,92.29,89.9,1
3,5,20,89.9,89.9,0.5
1,5,20,89.56,88.65,1
0,5,60,92.53,90.2,1
7,5,60,94.83,89.72,1
2,5,10,92.55,89.68,0.5
8,5,30,90.94,90.26,1
5,5,80,92.22,91.08,1
3,5,30,91.41,89.9,0.5
6,5,40,90.43,90.42,1
3,5,50,93.77,89.9,1
3,5,30,93.24,89.9,1
4,5,80,91.45,90.18,1
1,5,40,92.16,88.65,1
3,5,50,93.59,89.9,1
8,5,20,90.73,90.26,1
7,5,20,91.6,89.72,1
2,5,40,94.87,89.68,1
3,5,20,93.11,89.9,1
7,5,40,95.35,89.72,1
1,5,80,94,88.65,1
7,5,30,93.6,89.72,0.5
7,5,30,89.85,89.72,1
1,5,20,89.06,88.65,1
4,5,20,91.0733333333333,90.18,0.5
1,5,40,93.17,88.65,1
2,5,30,94.07,89.68,1
3,5,20,92.66,89.9,1
5,5,40,92.35,91.08,1
2,5,80,92.78,89.68,1
3,5,40,93.73,89.9,1
5,5,40,92.81,91.08,1
5,5,30,91.81,91.08,1
9,5,80,91.71,89.91,1
4,5,40,92.25,90.18,1
8,5,50,91.05,90.26,1
4,5,20,91.7366666666667,90.18,0.5
6,5,30,94.13,90.42,1
2,5,40,95.24,89.68,1
7,5,30,93.6933333333333,89.72,0.5
2,5,10,93.7,89.68,1
0,5,10,91.09,90.2,1
7,5,30,92.0666666666667,89.72,0.5
3,5,10,89.93,89.9,0.5
0,5,10,90.94,90.2,1
8,5,40,90.73,90.26,1
4,5,60,91.45,90.18,1
7,5,100,92.98,89.72,1
0,5,10,92,90.2,1
1,5,80,93.64,88.65,1
6,5,50,95.55,90.42,1
7,5,80,93.91,89.72,1
5,5,30,91.8,91.08,1
4,5,40,92.9,90.18,1
7,5,20,93.31,89.72,1
0,5,20,91.69,90.2,1
7,5,10,93.32,89.72,1
6,5,40,95.24,90.42,1
2,5,20,91.5,89.68,1
7,5,20,89.8966666666667,89.72,0.5
5,5,30,92.4,91.08,1
4,5,10,90.1833333333333,90.18,0.5
0,5,60,92.24,90.2,1
2,5,30,93.98,89.68,1
3,5,40,93.79,89.9,1
9,5,40,92.11,89.91,1
4,5,10,91.17,90.18,1
1,5,40,92.12,88.65,1
8,5,80,90.67,90.26,1
0,5,100,91.48,90.2,1
1,5,10,88.76,88.65,1
4,5,80,91.44,90.18,1
3,5,20,92.51,89.9,1
6,5,10,92.8,90.42,1
2,5,20,93.5233333333333,89.68,0.5
7,5,60,94.56,89.72,1
2,5,50,94.31,89.68,1
5,5,30,91.79,91.08,1
6,5,30,94.51,90.42,1
3,5,40,93.53,89.9,1
4,5,30,92.34,90.18,1
8,5,40,91.1,90.26,1
3,5,10,90.01,89.9,1
6,5,50,94.48,90.42,1
8,5,40,91.06,90.26,1
4,5,20,91.7233333333333,90.18,0.5
4,5,30,91.8766666666667,90.18,0.5
4,5,10,92.19,90.18,1
2,5,30,90.5933333333333,89.68,0.5
7,5,10,92.5666666666667,89.72,0.5
0,5,30,92.62,90.2,1
9,5,50,91.93,89.91,1
7,5,30,94.0433333333333,89.72,0.5
4,5,10,90.1866666666667,90.18,0.5
7,5,40,95.06,89.72,1
7,5,30,89.98,89.72,0.5
7,5,20,91.15,89.72,1
8,5,30,91.16,90.26,1
0,5,80,91.76,90.2,1
9,5,50,92.44,89.91,1
1,5,10,88.79,88.65,1
3,5,40,93.55,89.9,1
2,5,10,92.51,89.68,0.5
2,5,20,94.35,89.68,1
9,5,60,92.74,89.91,1
3,5,80,93.08,89.9,1
3,5,20,92.1733333333333,89.9,0.5
2,5,80,92.47,89.68,1
6,5,40,95.07,90.42,1
3,5,20,91.88,89.9,0.5
0,5,40,92.69,90.2,1
9,5,50,92.56,89.91,1
2,5,30,94.51,89.68,1
3,5,20,91.73,89.9,1
6,5,100,92.17,90.42,1
3,5,30,93.43,89.9,1
3,5,40,93.51,89.9,1
0,5,20,92.21,90.2,1
6,5,20,93.37,90.42,1
9,5,60,92.5,89.91,1
8,5,80,91.03,90.26,1
3,5,30,92.44,89.9,0.5
7,5,30,90.3,89.72,0.5
2,5,20,90.3266666666667,89.68,0.5
4,5,10,91.65,90.18,1
4,5,20,90.2433333333333,90.18,0.5
2,5,10,92.9233333333333,89.68,0.5
5,5,40,93.06,91.08,1
7,5,10,93.31,89.72,1
2,5,30,95.15,89.68,1
2,5,60,93.96,89.68,1
2,5,40,94.75,89.68,1
3,5,30,90.15,89.9,0.5
2,5,40,94.59,89.68,1
5,5,20,91.53,91.08,1
2,5,10,92.4866666666667,89.68,0.5
3,5,20,90.83,89.9,1
2,5,20,93.32,89.68,1
5,5,40,92.68,91.08,1
2,5,10,93.1,89.68,1
0,5,50,93.07,90.2,1
7,5,40,95.07,89.72,1
7,5,20,92.07,89.72,1
6,5,20,94.17,90.42,1
4,5,30,90.25,90.18,1
4,5,10,91.56,90.18,0.5
3,5,50,93.6,89.9,1
4,5,30,90.19,90.18,0.5
4,5,20,91.99,90.18,1
2,5,30,90.46,89.68,1
7,5,40,94.71,89.72,1
4,5,20,92.74,90.18,1
4,5,30,92.55,90.18,1
8,5,100,90.6,90.26,1
2,5,20,94.49,89.68,1
3,5,40,93.76,89.9,1
9,5,20,91.08,89.91,1
3,5,20,90.06,89.9,1
7,5,30,94.91,89.72,1
2,5,20,93.8333333333333,89.68,0.5
3,5,20,92.4,89.9,1
4,5,20,91.68,90.18,0.5
1,5,20,89.63,88.65,1
7,5,10,91.9733333333333,89.72,0.5
1,5,20,89.26,88.65,1
2,5,20,90.8966666666667,89.68,0.5
3,5,30,92.73,89.9,1
7,5,40,94.91,89.72,1
2,5,30,94.53,89.68,1
9,5,80,92.13,89.91,1
3,5,80,93.1,89.9,1
5,5,80,92.47,91.08,1
1,5,60,93.85,88.65,1
3,5,20,90.8033333333333,89.9,0.5
7,5,30,93.7666666666667,89.72,0.5
7,5,60,95.05,89.72,1
3,5,50,93.66,89.9,1
3,5,50,94.01,89.9,1
6,5,100,93.1,90.42,1
2,5,30,93.9366666666667,89.68,0.5
4,5,20,93.39,90.18,1
3,5,10,91.8,89.9,1
6,5,80,93.36,90.42,1
3,5,20,92.58,89.9,1
3,5,20,90.93,89.9,1
4,5,30,90.24,90.18,1
6,5,20,94.33,90.42,1
5,5,40,92.13,91.08,1
3,5,20,90.27,89.9,1
0,5,50,93.27,90.2,1
4,5,30,93.22,90.18,1
8,5,10,90.45,90.26,1
4,5,20,90.22,90.18,1
4,5,20,90.4833333333333,90.18,0.5
1,5,50,93.81,88.65,1
3,5,30,92.19,89.9,0.5
2,5,20,92.9166666666667,89.68,0.5
3,5,20,90.12,89.9,0.5
2,5,10,94.11,89.68,1
8,5,20,90.65,90.26,1
8,5,50,91.14,90.26,1
3,5,80,93.06,89.9,1
3,5,30,90.82,89.9,1
5,5,40,92.34,91.08,1
4,5,20,90.21,90.18,1
8,5,10,90.3,90.26,1
8,5,60,90.82,90.26,1
4,5,30,91.7766666666667,90.18,0.5
4,5,50,92.78,90.18,1
3,5,50,93.82,89.9,1
0,5,100,91.28,90.2,1
9,5,40,92.14,89.91,1
1,5,50,93.84,88.65,1
9,5,30,91.48,89.91,1
7,5,20,90.17,89.72,1
9,5,10,90.19,89.91,1
3,5,20,92.34,89.9,1
0,5,80,91.61,90.2,1
4,5,100,90.62,90.18,1
9,5,50,92.51,89.91,1
2,5,30,94.1,89.68,0.5
0,5,30,93.07,90.2,1
0,5,20,91.95,90.2,1
3,5,50,93.71,89.9,1
3,5,10,92.1,89.9,1
4,5,80,90.98,90.18,1
3,5,40,93.65,89.9,1
9,5,20,91.17,89.91,1
7,5,30,94.97,89.72,1
2,5,30,94.89,89.68,1
8,5,100,90.74,90.26,1
1,5,60,94.37,88.65,1
2,5,30,90.59,89.68,1
8,5,40,91.23,90.26,1
4,5,30,91.12,90.18,0.5
4,5,30,90.2733333333333,90.18,0.5
1,5,100,93.03,88.65,1
2,5,10,92.2433333333333,89.68,0.5
2,5,20,93.6866666666667,89.68,0.5
7,5,10,93.89,89.72,1
2,5,10,92.5566666666667,89.68,0.5
4,5,30,90.18,90.18,1
0,5,20,91.16,90.2,1
4,5,100,90.65,90.18,1
4,5,50,91.89,90.18,1
2,5,10,93.51,89.68,1
7,5,100,92.92,89.72,1
0,5,10,91.14,90.2,1
3,5,30,93.39,89.9,1
3,5,20,92.58,89.9,1
2,5,10,94.39,89.68,1
6,5,60,94.7,90.42,1
1,5,60,94.39,88.65,1
5,5,40,92.91,91.08,1
2,5,20,90.93,89.68,1
1,5,20,90.39,88.65,1
5,5,80,92.21,91.08,1
3,5,20,89.94,89.9,1
7,5,30,93.95,89.72,0.5
7,5,10,90.72,89.72,1
3,5,20,89.93,89.9,1
2,5,20,95.09,89.68,1
7,5,10,91.95,89.72,1
1,5,60,94.07,88.65,1
4,5,40,92.76,90.18,1
